"","iter","c","tau","cell","obstime","condition","capture","obstime.orig","capture.orig","S.hat","tau.offset"
"1",317,1,1.38916146321341,"GSM734540",6,"Botrytis","6",2,"2",0.0633593254166671,-4.61083853678659
"2",317,2,3.90608898021086,"GSM734541",6,"Botrytis","6",4,"4",0.0200831265833328,-2.09391101978914
"3",317,3,6.0924905802469,"GSM734542",6,"Botrytis","6",6,"6",0.000231507500000561,0.0924905802468965
"4",317,4,6.63822575022545,"GSM734543",6,"Botrytis","6",8,"8",-0.0423482991666662,0.638225750225454
"5",317,5,7.07554277780538,"GSM734544",6,"Botrytis","6",10,"10",-0.0261402241666664,1.07554277780538
"6",317,6,8.82430070594562,"GSM734545",6,"Botrytis","6",12,"12",0.000738450000000057,2.82430070594562
"7",317,7,11.0795561597633,"GSM734546",18,"Botrytis","18",14,"14",-0.15198597975,-6.92044384023669
"8",317,8,12.4487527744732,"GSM734547",18,"Botrytis","18",16,"16",-0.136995119,-5.55124722552681
"9",317,9,13.8477094130987,"GSM734548",18,"Botrytis","18",18,"18",-0.0741973693333335,-4.15229058690127
"10",317,10,13.9190771012205,"GSM734549",18,"Botrytis","18",20,"20",-0.0256957385000005,-4.08092289877948
"11",317,11,19.0289894396801,"GSM734550",18,"Botrytis","18",22,"22",0.202389462333334,1.02898943968014
"12",317,12,20.3105721232259,"GSM734551",18,"Botrytis","18",24,"24",0.147056358916666,2.31057212322587
"13",317,13,27.367205671048,"GSM734552",30,"Botrytis","30",26,"26",0.117875835083333,-2.63279432895197
"14",317,14,31.544960008896,"GSM734553",30,"Botrytis","30",28,"28",0.123712729166667,1.54496000889602
"15",317,15,33.3072113551951,"GSM734554",30,"Botrytis","30",30,"30",0.0363934718333345,3.30721135519513
"16",317,16,36.200817695199,"GSM734555",30,"Botrytis","30",32,"32",-0.0373691684166673,6.20081769519896
"17",317,17,36.4244558995837,"GSM734556",30,"Botrytis","30",34,"34",-0.0676404233333336,6.42445589958368
"18",317,18,40.5223395509771,"GSM734557",30,"Botrytis","30",36,"36",-0.103591909166667,10.5223395509771
"19",317,19,40.1538457426373,"GSM734558",42,"Botrytis","42",38,"38",0.0695564258333325,-1.84615425736271
"20",317,20,40.9784586764909,"GSM734559",42,"Botrytis","42",40,"40",0.0458713479166661,-1.02154132350911
"21",317,21,41.5125789462858,"GSM734560",42,"Botrytis","42",42,"42",-0.0703513547500005,-0.487421053714215
"22",317,22,42.1962968739407,"GSM734561",42,"Botrytis","42",44,"44",-0.0871696608333332,0.196296873940717
"23",317,23,42.6200124168435,"GSM734562",42,"Botrytis","42",46,"46",0.0425762325833334,0.620012416843451
"24",317,24,44.0081537492648,"GSM734563",42,"Botrytis","42",48,"48",-0.0395720957499996,2.00815374926485
