"","iter","c","tau","cell","obstime","condition","capture","obstime.orig","capture.orig","S.hat","tau.offset"
"1",1,1,0.763199,"GSM734540",6,"Botrytis","6",2,"2",0.0633593254166671,-5.236801
"2",1,2,3.47131,"GSM734541",6,"Botrytis","6",4,"4",0.0200831265833328,-2.52869
"3",1,3,6.42242,"GSM734542",6,"Botrytis","6",6,"6",0.000231507500000561,0.42242
"4",1,4,6.35044,"GSM734543",6,"Botrytis","6",8,"8",-0.0423482991666662,0.35044
"5",1,5,7.09646,"GSM734544",6,"Botrytis","6",10,"10",-0.0261402241666664,1.09646
"6",1,6,8.4958,"GSM734545",6,"Botrytis","6",12,"12",0.000738450000000057,2.4958
"7",1,7,11.4296,"GSM734546",18,"Botrytis","18",14,"14",-0.15198597975,-6.5704
"8",1,8,12.4705,"GSM734547",18,"Botrytis","18",16,"16",-0.136995119,-5.5295
"9",1,9,14.2042,"GSM734548",18,"Botrytis","18",18,"18",-0.0741973693333335,-3.7958
"10",1,10,14.6977,"GSM734549",18,"Botrytis","18",20,"20",-0.0256957385000005,-3.3023
"11",1,11,20.4644,"GSM734550",18,"Botrytis","18",22,"22",0.202389462333334,2.4644
"12",1,12,21.0749,"GSM734551",18,"Botrytis","18",24,"24",0.147056358916666,3.0749
"13",1,13,28.736,"GSM734552",30,"Botrytis","30",26,"26",0.117875835083333,-1.264
"14",1,14,31.5596,"GSM734553",30,"Botrytis","30",28,"28",0.123712729166667,1.5596
"15",1,15,33.2263,"GSM734554",30,"Botrytis","30",30,"30",0.0363934718333345,3.2263
"16",1,16,36.7658,"GSM734555",30,"Botrytis","30",32,"32",-0.0373691684166673,6.7658
"17",1,17,36.2265,"GSM734556",30,"Botrytis","30",34,"34",-0.0676404233333336,6.2265
"18",1,18,38.6208,"GSM734557",30,"Botrytis","30",36,"36",-0.103591909166667,8.6208
"19",1,19,37.7494,"GSM734558",42,"Botrytis","42",38,"38",0.0695564258333325,-4.2506
"20",1,20,39.9228,"GSM734559",42,"Botrytis","42",40,"40",0.0458713479166661,-2.0772
"21",1,21,40.4138,"GSM734560",42,"Botrytis","42",42,"42",-0.0703513547500005,-1.5862
"22",1,22,41.4702,"GSM734561",42,"Botrytis","42",44,"44",-0.0871696608333332,-0.529800000000002
"23",1,23,41.9171,"GSM734562",42,"Botrytis","42",46,"46",0.0425762325833334,-0.0829000000000022
"24",1,24,42.5549,"GSM734563",42,"Botrytis","42",48,"48",-0.0395720957499996,0.554900000000004
