"","iter","c","tau","cell","obstime","condition","capture","obstime.orig","capture.orig","S.hat","tau.offset"
"1",281,1,-6.37313128499411,"GSM734540",6,"Botrytis","6",2,"2",0.0633593254166671,-12.3731312849941
"2",281,2,-2.62324289031714,"GSM734541",6,"Botrytis","6",4,"4",0.0200831265833328,-8.62324289031714
"3",281,3,0.109217037901961,"GSM734542",6,"Botrytis","6",6,"6",0.000231507500000561,-5.89078296209804
"4",281,4,1.47605852015122,"GSM734543",6,"Botrytis","6",8,"8",-0.0423482991666662,-4.52394147984878
"5",281,5,1.69246677418875,"GSM734544",6,"Botrytis","6",10,"10",-0.0261402241666664,-4.30753322581125
"6",281,6,3.5139153843315,"GSM734545",6,"Botrytis","6",12,"12",0.000738450000000057,-2.4860846156685
"7",281,7,9.01343523877421,"GSM734546",18,"Botrytis","18",14,"14",-0.15198597975,-8.98656476122579
"8",281,8,9.4388527877541,"GSM734547",18,"Botrytis","18",16,"16",-0.136995119,-8.5611472122459
"9",281,9,12.9789546420972,"GSM734548",18,"Botrytis","18",18,"18",-0.0741973693333335,-5.02104535790277
"10",281,10,12.2500451447946,"GSM734549",18,"Botrytis","18",20,"20",-0.0256957385000005,-5.74995485520544
"11",281,11,18.7155454980326,"GSM734550",18,"Botrytis","18",22,"22",0.202389462333334,0.715545498032636
"12",281,12,20.127720797958,"GSM734551",18,"Botrytis","18",24,"24",0.147056358916666,2.12772079795796
"13",281,13,29.2164931259527,"GSM734552",30,"Botrytis","30",26,"26",0.117875835083333,-0.783506874047333
"14",281,14,34.2331728606698,"GSM734553",30,"Botrytis","30",28,"28",0.123712729166667,4.23317286066975
"15",281,15,36.5048240275302,"GSM734554",30,"Botrytis","30",30,"30",0.0363934718333345,6.5048240275302
"16",281,16,39.77418616622,"GSM734555",30,"Botrytis","30",32,"32",-0.0373691684166673,9.77418616622001
"17",281,17,40.3701693941893,"GSM734556",30,"Botrytis","30",34,"34",-0.0676404233333336,10.3701693941893
"18",281,18,45.2515595313526,"GSM734557",30,"Botrytis","30",36,"36",-0.103591909166667,15.2515595313526
"19",281,19,44.1852600136047,"GSM734558",42,"Botrytis","42",38,"38",0.0695564258333325,2.18526001360474
"20",281,20,45.7924529026657,"GSM734559",42,"Botrytis","42",40,"40",0.0458713479166661,3.79245290266572
"21",281,21,46.3258240830724,"GSM734560",42,"Botrytis","42",42,"42",-0.0703513547500005,4.32582408307242
"22",281,22,46.7718486549214,"GSM734561",42,"Botrytis","42",44,"44",-0.0871696608333332,4.77184865492137
"23",281,23,47.2067019225828,"GSM734562",42,"Botrytis","42",46,"46",0.0425762325833334,5.20670192258279
"24",281,24,48.4513412493012,"GSM734563",42,"Botrytis","42",48,"48",-0.0395720957499996,6.45134124930122
