"","iter","c","tau","cell","obstime","condition","capture","obstime.orig","capture.orig","S.hat","tau.offset"
"1",1,1,-4.7549,"GSM734540",6,"Botrytis","6",2,"2",0.0633593254166671,-10.7549
"2",1,2,-2.13007,"GSM734541",6,"Botrytis","6",4,"4",0.0200831265833328,-8.13007
"3",1,3,1.18588,"GSM734542",6,"Botrytis","6",6,"6",0.000231507500000561,-4.81412
"4",1,4,2.81522,"GSM734543",6,"Botrytis","6",8,"8",-0.0423482991666662,-3.18478
"5",1,5,2.778,"GSM734544",6,"Botrytis","6",10,"10",-0.0261402241666664,-3.222
"6",1,6,5.55599,"GSM734545",6,"Botrytis","6",12,"12",0.000738450000000057,-0.44401
"7",1,7,9.29249,"GSM734546",18,"Botrytis","18",14,"14",-0.15198597975,-8.70751
"8",1,8,10.7897,"GSM734547",18,"Botrytis","18",16,"16",-0.136995119,-7.2103
"9",1,9,13.215,"GSM734548",18,"Botrytis","18",18,"18",-0.0741973693333335,-4.785
"10",1,10,13.4916,"GSM734549",18,"Botrytis","18",20,"20",-0.0256957385000005,-4.5084
"11",1,11,19.3593,"GSM734550",18,"Botrytis","18",22,"22",0.202389462333334,1.3593
"12",1,12,20.622,"GSM734551",18,"Botrytis","18",24,"24",0.147056358916666,2.622
"13",1,13,28.3358,"GSM734552",30,"Botrytis","30",26,"26",0.117875835083333,-1.6642
"14",1,14,34.1968,"GSM734553",30,"Botrytis","30",28,"28",0.123712729166667,4.1968
"15",1,15,35.2734,"GSM734554",30,"Botrytis","30",30,"30",0.0363934718333345,5.2734
"16",1,16,36.4835,"GSM734555",30,"Botrytis","30",32,"32",-0.0373691684166673,6.4835
"17",1,17,38.9165,"GSM734556",30,"Botrytis","30",34,"34",-0.0676404233333336,8.9165
"18",1,18,43.1436,"GSM734557",30,"Botrytis","30",36,"36",-0.103591909166667,13.1436
"19",1,19,41.992,"GSM734558",42,"Botrytis","42",38,"38",0.0695564258333325,-0.00800000000000267
"20",1,20,44.1344,"GSM734559",42,"Botrytis","42",40,"40",0.0458713479166661,2.1344
"21",1,21,43.9034,"GSM734560",42,"Botrytis","42",42,"42",-0.0703513547500005,1.9034
"22",1,22,45.2591,"GSM734561",42,"Botrytis","42",44,"44",-0.0871696608333332,3.2591
"23",1,23,45.0442,"GSM734562",42,"Botrytis","42",46,"46",0.0425762325833334,3.0442
"24",1,24,46.2599,"GSM734563",42,"Botrytis","42",48,"48",-0.0395720957499996,4.2599
