"","iter","c","tau","cell","obstime","condition","capture","obstime.orig","capture.orig","S.hat","tau.offset"
"1",1,1,1.6718,"GSM734540",6,"Botrytis","6",2,"2",0.0633593254166671,-4.3282
"2",1,2,4.00535,"GSM734541",6,"Botrytis","6",4,"4",0.0200831265833328,-1.99465
"3",1,3,5.7552,"GSM734542",6,"Botrytis","6",6,"6",0.000231507500000561,-0.2448
"4",1,4,7.19269,"GSM734543",6,"Botrytis","6",8,"8",-0.0423482991666662,1.19269
"5",1,5,7.4295,"GSM734544",6,"Botrytis","6",10,"10",-0.0261402241666664,1.4295
"6",1,6,8.63305,"GSM734545",6,"Botrytis","6",12,"12",0.000738450000000057,2.63305
"7",1,7,11.4898,"GSM734546",18,"Botrytis","18",14,"14",-0.15198597975,-6.5102
"8",1,8,13.4163,"GSM734547",18,"Botrytis","18",16,"16",-0.136995119,-4.5837
"9",1,9,14.7504,"GSM734548",18,"Botrytis","18",18,"18",-0.0741973693333335,-3.2496
"10",1,10,14.9073,"GSM734549",18,"Botrytis","18",20,"20",-0.0256957385000005,-3.0927
"11",1,11,20.2616,"GSM734550",18,"Botrytis","18",22,"22",0.202389462333334,2.2616
"12",1,12,21.8788,"GSM734551",18,"Botrytis","18",24,"24",0.147056358916666,3.8788
"13",1,13,28.4949,"GSM734552",30,"Botrytis","30",26,"26",0.117875835083333,-1.5051
"14",1,14,31.8734,"GSM734553",30,"Botrytis","30",28,"28",0.123712729166667,1.8734
"15",1,15,33.054,"GSM734554",30,"Botrytis","30",30,"30",0.0363934718333345,3.054
"16",1,16,35.4902,"GSM734555",30,"Botrytis","30",32,"32",-0.0373691684166673,5.4902
"17",1,17,36.2759,"GSM734556",30,"Botrytis","30",34,"34",-0.0676404233333336,6.2759
"18",1,18,39.1033,"GSM734557",30,"Botrytis","30",36,"36",-0.103591909166667,9.1033
"19",1,19,39.2178,"GSM734558",42,"Botrytis","42",38,"38",0.0695564258333325,-2.7822
"20",1,20,39.5744,"GSM734559",42,"Botrytis","42",40,"40",0.0458713479166661,-2.4256
"21",1,21,41.0985,"GSM734560",42,"Botrytis","42",42,"42",-0.0703513547500005,-0.901499999999999
"22",1,22,40.4268,"GSM734561",42,"Botrytis","42",44,"44",-0.0871696608333332,-1.5732
"23",1,23,41.2801,"GSM734562",42,"Botrytis","42",46,"46",0.0425762325833334,-0.719900000000003
"24",1,24,43.0004,"GSM734563",42,"Botrytis","42",48,"48",-0.0395720957499996,1.0004
